"Kod";"Nazwa";"gminy łącznie z miastami na prawach powiatu;dochody własne;2018;[zł]";"gminy łącznie z miastami na prawach powiatu;dochody własne;2019;[zł]";"gminy łącznie z miastami na prawach powiatu;dochody własne;2020;[zł]";"gminy łącznie z miastami na prawach powiatu;dochody własne;2021;[zł]";"gminy łącznie z miastami na prawach powiatu;dochody własne;2022;[zł]";"gminy łącznie z miastami na prawach powiatu;dochody własne;2023;[zł]";
0201000;"Powiat bolesławiecki";2554,82;2821,07;2948,36;3114,69;3770,53;4050,49;
0202000;"Powiat dzierżoniowski";1890,34;2171,36;2391,94;2347,86;2708,33;2797,51;
0203000;"Powiat głogowski";3238,99;3394,57;3884,61;4096,09;4514,49;5079,70;
0204000;"Powiat górowski";1719,31;1913,93;2219,13;2334,57;2758,49;2586,12;
0205000;"Powiat jaworski";1984,46;2111,52;2959,47;2869,60;3417,69;3738,05;
0206000;"Powiat karkonoski";2758,01;2908,37;3187,00;3752,64;4266,55;4189,38;
0207000;"Powiat kamiennogórski";1766,95;1862,86;2282,15;2676,17;2708,54;2912,54;
0208000;"Powiat kłodzki";2040,93;2303,73;2593,52;2841,52;3502,94;3240,23;
0209000;"Powiat legnicki";2359,45;2671,16;2877,08;3309,01;3898,90;4038,76;
0210000;"Powiat lubański";2363,33;2232,50;2450,48;2784,15;3228,05;3174,81;
0211000;"Powiat lubiński";3298,62;3535,20;4080,90;4016,00;4583,56;4554,19;
0212000;"Powiat lwówecki";1612,27;1637,76;1889,81;2101,91;2549,33;2605,79;
0213000;"Powiat milicki";2063,79;2146,90;2703,04;2721,31;3093,72;2965,21;
0214000;"Powiat oleśnicki";2117,88;2669,99;2641,20;2726,94;3094,39;3053,32;
0215000;"Powiat oławski";2671,32;2865,05;3173,40;3317,72;3651,45;3691,38;
0216000;"Powiat polkowicki";4682,55;5047,00;5246,77;5496,16;6788,89;6630,74;
0217000;"Powiat strzeliński";2054,92;2246,93;2492,75;2629,80;3121,51;3499,07;
0218000;"Powiat średzki";2470,62;2761,24;3007,11;3256,57;3612,04;3653,39;
0219000;"Powiat świdnicki";2555,79;2650,60;3062,86;3475,04;3553,45;3847,25;
0220000;"Powiat trzebnicki";2322,88;2433,43;2732,57;3172,88;3392,28;3375,97;
0221000;"Powiat wałbrzyski";2061,28;2490,25;3019,60;3221,49;3423,37;3306,78;
0222000;"Powiat wołowski";2209,13;2572,99;2743,81;3501,92;3271,59;3251,88;
0223000;"Powiat wrocławski";3880,66;4212,48;4256,79;4497,32;4761,40;4968,24;
0224000;"Powiat ząbkowicki";1822,04;2034,07;2700,29;2697,60;3044,74;3122,92;
0225000;"Powiat zgorzelecki";2930,00;3120,94;3280,26;3856,25;4031,94;4226,71;
0226000;"Powiat złotoryjski";2074,19;2160,06;2508,40;2764,11;3223,83;3087,39;
0261000;"Powiat m. Jelenia Góra";2764,55;2954,33;3057,09;3704,49;3675,91;3881,24;
0262000;"Powiat m. Legnica";2912,30;3262,55;3612,09;4143,78;3928,91;4502,36;
0264000;"Powiat m. Wrocław";4966,37;5226,33;4878,83;6031,68;6247,25;6677,23;
0265000;"Powiat m. Wałbrzych od 2013";2972,03;3087,56;3388,25;3701,33;3942,82;4156,89;
0401000;"Powiat aleksandrowski";1832,36;2003,68;2334,25;2578,02;3057,77;2831,04;
0402000;"Powiat brodnicki";1822,65;1919,71;2178,05;2327,35;2802,38;2835,16;
0403000;"Powiat bydgoski";2739,53;2978,25;3080,38;3504,82;3585,59;3640,47;
0404000;"Powiat chełmiński";1558,64;1715,01;2000,11;2278,68;2678,18;2732,02;
0405000;"Powiat golubsko-dobrzyński";1704,53;1806,99;2046,73;2395,83;2801,37;2622,88;
0406000;"Powiat grudziądzki";1978,80;2306,98;2470,86;2933,37;3646,78;3409,22;
0407000;"Powiat inowrocławski";2246,04;2607,02;2652,23;2898,97;3151,11;3268,04;
0408000;"Powiat lipnowski";1396,56;1613,21;1883,06;1912,77;2579,60;2389,21;
0409000;"Powiat mogileński";1802,91;2166,43;2414,00;2650,07;3076,30;3108,26;
0410000;"Powiat nakielski";1632,05;1895,42;2084,81;2335,50;2504,31;2493,96;
0411000;"Powiat radziejowski";1467,81;1628,38;2070,54;2133,05;2918,56;2545,78;
0412000;"Powiat rypiński";1593,69;1771,25;2110,09;2289,97;2813,89;2480,74;
0413000;"Powiat sępoleński";1693,76;1796,67;1923,78;2133,01;2624,18;2532,09;
0414000;"Powiat świecki";2053,08;2375,93;2798,36;2979,83;3414,58;3488,32;
0415000;"Powiat toruński";2003,90;2222,33;2462,70;2590,82;2885,35;2873,25;
0416000;"Powiat tucholski";1757,70;1945,40;2325,04;2377,65;2819,54;2633,87;
0417000;"Powiat wąbrzeski";1767,52;2209,97;2261,83;2999,94;3418,16;2926,91;
0418000;"Powiat włocławski";1604,68;1948,33;2263,06;2635,09;3155,91;3103,74;
0419000;"Powiat żniński";1974,47;2100,68;2417,84;2726,46;3025,48;2916,03;
0461000;"Powiat m. Bydgoszcz";3462,25;3654,19;3589,58;3975,99;4241,64;4353,64;
0462000;"Powiat m. Grudziądz";2759,87;3173,05;2870,09;3458,44;3613,90;3580,79;
0463000;"Powiat m. Toruń";3201,89;3242,88;3506,66;3885,75;4018,04;4337,17;
0464000;"Powiat m. Włocławek";3089,51;3345,88;3703,00;4088,75;4213,44;4321,85;
0601000;"Powiat bialski";1364,26;1504,00;1739,20;1899,85;2504,68;2377,98;
0602000;"Powiat biłgorajski";1268,27;1415,06;1723,12;1621,81;2225,17;1943,86;
0603000;"Powiat chełmski";1228,57;1419,82;1660,82;1712,04;2341,18;1874,09;
0604000;"Powiat hrubieszowski";1319,57;1462,78;1649,45;1716,68;2189,36;2005,20;
0605000;"Powiat janowski";1213,22;1278,14;1888,58;1611,63;2245,00;1911,87;
0606000;"Powiat krasnostawski";1352,43;1547,28;1635,61;1809,96;2385,36;2169,60;
0607000;"Powiat kraśnicki";1279,69;1378,66;1713,06;1666,27;2078,63;1883,99;
0608000;"Powiat lubartowski";1306,28;1490,49;1935,17;1758,81;2355,75;1932,13;
0609000;"Powiat lubelski";1569,12;1776,06;2031,00;2117,01;2454,36;2219,79;
0610000;"Powiat łęczyński";2010,09;2659,05;2539,12;2690,24;3132,13;2865,02;
0611000;"Powiat łukowski";1336,66;1448,43;1733,67;1859,09;2249,94;2025,22;
0612000;"Powiat opolski";1118,90;1400,27;1775,39;1520,96;1987,34;1800,06;
0613000;"Powiat parczewski";1375,12;1441,27;1645,99;1876,71;2521,38;2145,66;
0614000;"Powiat puławski";2339,69;2459,11;3017,41;2729,86;3106,26;3235,08;
0615000;"Powiat radzyński";1249,02;1433,86;1602,15;1625,42;2152,02;1977,05;
0616000;"Powiat rycki";1580,42;1752,06;2275,09;2150,41;2618,32;2700,23;
0617000;"Powiat świdnicki";1672,31;2042,98;2510,60;2389,31;2735,02;2571,61;
0618000;"Powiat tomaszowski";1324,51;1476,12;1869,59;1843,46;2400,19;2290,51;
0619000;"Powiat włodawski";1410,53;1683,15;1823,87;2103,83;2674,49;2250,95;
0620000;"Powiat zamojski";1163,34;1369,28;1516,05;1625,68;2185,15;1914,57;
0661000;"Powiat m. Biała Podlaska";2143,67;2489,40;2623,63;2706,28;2766,84;2952,08;
0662000;"Powiat m. Chełm";2162,45;2277,28;2819,14;2851,89;2879,78;3168,84;
0663000;"Powiat m. Lublin";3309,10;3693,56;3553,80;3972,81;4382,52;4418,43;
