"Kod";"Nazwa";"rok;2018;[%]";"rok;2019;[%]";"rok;2020;[%]";"rok;2021;[%]";"rok;2022;[%]";"rok;2023;[%]";"rok;2024;[%]";
0201000;"Powiat bolesławiecki";47,86;47,81;47,25;47,17;47,10;46,96;;
0202000;"Powiat dzierżoniowski";78,83;78,82;78,46;78,29;78,16;78,10;;
0203000;"Powiat głogowski";75,51;75,17;74,25;73,78;73,39;72,96;;
0204000;"Powiat górowski";41,30;41,12;41,44;41,23;41,09;40,82;;
0205000;"Powiat jaworski";55,51;55,32;54,20;54,00;53,60;53,24;;
0206000;"Powiat karkonoski";44,51;44,30;43,11;42,71;42,45;42,15;;
0207000;"Powiat kamiennogórski";57,77;57,42;56,95;56,68;56,37;56,17;;
0208000;"Powiat kłodzki";63,93;63,78;63,59;63,41;63,25;63,10;;
0209000;"Powiat legnicki";30,81;30,53;29,86;29,33;29,03;28,81;;
0210000;"Powiat lubański";62,51;62,31;62,14;62,10;61,89;61,83;;
0211000;"Powiat lubiński";73,57;73,32;72,28;71,80;71,27;70,84;;
0212000;"Powiat lwówecki";50,33;50,10;50,17;49,95;49,73;49,51;;
0213000;"Powiat milicki";30,62;30,57;30,58;30,46;30,31;30,25;;
0214000;"Powiat oleśnicki";57,54;57,22;55,76;55,33;54,81;54,47;;
0215000;"Powiat oławski";63,61;63,65;62,92;62,63;62,43;62,21;;
0216000;"Powiat polkowicki";58,03;57,79;57,27;56,91;56,38;56,06;;
0217000;"Powiat strzeliński";33,56;33,71;34,03;34,05;33,97;33,96;;
0218000;"Powiat średzki";17,48;17,32;16,58;16,47;16,33;19,69;;
0219000;"Powiat świdnicki";68,64;68,43;67,93;67,66;67,44;67,20;;
0220000;"Powiat trzebnicki";36,65;36,53;35,99;35,88;35,61;35,34;;
0221000;"Powiat wałbrzyski";64,98;64,88;64,50;64,21;64,07;63,97;;
0222000;"Powiat wołowski";52,95;53,09;54,09;54,05;53,93;54,00;;
0223000;"Powiat wrocławski";14,92;14,74;13,80;13,72;13,60;13,45;;
0224000;"Powiat ząbkowicki";44,60;44,54;44,58;51,63;51,62;51,63;;
0225000;"Powiat zgorzelecki";67,78;67,63;67,50;67,11;66,95;66,75;;
0226000;"Powiat złotoryjski";49,29;49,20;48,78;48,63;48,47;48,26;;
0261000;"Powiat m. Jelenia Góra";100,00;100,00;100,00;100,00;100,00;100,00;;
0262000;"Powiat m. Legnica";100,00;100,00;100,00;100,00;100,00;100,00;;
0264000;"Powiat m. Wrocław";100,00;100,00;100,00;100,00;100,00;100,00;;
0265000;"Powiat m. Wałbrzych od 2013";100,00;100,00;100,00;100,00;100,00;100,00;;
0401000;"Powiat aleksandrowski";44,69;44,61;44,15;43,96;43,83;43,71;;
0402000;"Powiat brodnicki";42,97;42,96;43,36;43,21;42,90;42,72;;
0403000;"Powiat bydgoski";22,86;22,52;21,67;21,24;20,82;20,47;;
0404000;"Powiat chełmiński";37,78;37,57;37,60;37,31;36,98;36,75;;
0405000;"Powiat golubsko-dobrzyński";37,16;37,07;36,00;35,71;35,63;35,41;;
0406000;"Powiat grudziądzki";12,82;12,45;12,68;12,63;12,43;12,41;;
0407000;"Powiat inowrocławski";64,46;64,36;64,14;64,37;64,11;64,03;;
0408000;"Powiat lipnowski";30,61;30,54;30,23;30,09;29,99;29,97;;
0409000;"Powiat mogileński";38,29;38,14;38,02;37,71;37,39;37,18;;
0410000;"Powiat nakielski";42,69;42,50;42,68;42,53;42,13;41,96;;
0411000;"Powiat radziejowski";24,73;24,66;24,54;24,52;24,53;24,44;;
0412000;"Powiat rypiński";37,32;37,09;37,71;37,66;37,47;37,34;;
0413000;"Powiat sępoleński";42,46;42,43;43,21;43,19;43,09;42,91;;
0414000;"Powiat świecki";31,92;31,75;31,58;31,44;34,79;34,81;;
0415000;"Powiat toruński";13,59;13,34;12,64;12,35;12,18;11,98;;
0416000;"Powiat tucholski";28,28;28,21;28,32;28,28;27,88;27,64;;
0417000;"Powiat wąbrzeski";39,53;39,53;40,17;40,03;39,84;39,77;;
0418000;"Powiat włocławski";19,82;19,71;19,21;19,63;19,53;19,44;;
0419000;"Powiat żniński";42,42;42,14;42,46;42,07;41,77;41,45;;
0461000;"Powiat m. Bydgoszcz";100,00;100,00;100,00;100,00;100,00;100,00;;
0462000;"Powiat m. Grudziądz";100,00;100,00;100,00;100,00;100,00;100,00;;
0463000;"Powiat m. Toruń";100,00;100,00;100,00;100,00;100,00;100,00;;
0464000;"Powiat m. Włocławek";100,00;100,00;100,00;100,00;100,00;100,00;;
0601000;"Powiat bialski";20,07;20,14;19,81;19,72;19,63;19,56;;
0602000;"Powiat biłgorajski";33,19;33,25;32,90;33,82;33,76;33,72;;
0603000;"Powiat chełmski";10,10;10,11;9,92;9,83;9,92;9,92;;
0604000;"Powiat hrubieszowski";27,84;27,89;28,33;28,25;28,11;28,06;;
0605000;"Powiat janowski";29,09;29,18;28,91;28,87;28,85;28,76;;
0606000;"Powiat krasnostawski";29,38;29,45;29,26;29,37;32,19;32,27;;
0607000;"Powiat kraśnicki";40,37;40,29;39,96;39,80;39,69;39,57;;
0608000;"Powiat lubartowski";30,86;30,80;29,78;31,66;31,41;31,30;;
0609000;"Powiat lubelski";7,44;7,28;6,74;6,60;6,47;6,33;;
0610000;"Powiat łęczyński";33,08;32,83;32,44;32,09;31,87;31,70;;
0611000;"Powiat łukowski";30,30;30,17;29,60;29,49;29,39;29,24;;
0612000;"Powiat opolski";31,12;31,06;30,64;30,62;30,51;30,39;;
0613000;"Powiat parczewski";30,47;30,68;31,52;31,58;31,58;31,61;;
0614000;"Powiat puławski";47,57;47,45;47,64;47,53;47,51;47,38;;
0615000;"Powiat radzyński";26,54;26,60;26,27;26,16;26,04;25,98;;
0616000;"Powiat rycki";45,96;45,89;45,36;45,16;45,04;44,84;;
0617000;"Powiat świdnicki";58,12;58,06;57,18;56,83;56,66;56,44;;
0618000;"Powiat tomaszowski";30,97;31,05;31,09;30,88;30,86;30,87;;
0619000;"Powiat włodawski";34,19;34,07;34,19;34,18;34,26;34,25;;
0620000;"Powiat zamojski";10,59;10,58;10,48;10,48;10,47;10,41;;
0661000;"Powiat m. Biała Podlaska";100,00;100,00;100,00;100,00;100,00;100,00;;
0662000;"Powiat m. Chełm";100,00;100,00;100,00;100,00;100,00;100,00;;
0663000;"Powiat m. Lublin";100,00;100,00;100,00;100,00;100,00;100,00;;
0664000;"Powiat m. Zamość";100,00;100,00;100,00;100,00;100,00;100,00;;
0801000;"Powiat gorzowski";34,30;34,05;33,75;33,42;32,87;32,51;;
0802000;"Powiat krośnieński";50,80;50,80;50,27;50,11;49,86;49,58;;
0803000;"Powiat międzyrzecki";52,02;51,75;51,71;51,58;51,46;51,30;;
0804000;"Powiat nowosolski";65,83;65,81;65,26;65,01;64,93;64,70;;
0805000;"Powiat słubicki";63,78;63,53;63,93;63,84;63,85;63,69;;
0806000;"Powiat strzelecko-drezdenecki";47,07;47,05;47,71;47,63;47,51;47,46;;
0807000;"Powiat sulęciński";41,71;41,82;42,16;42,08;42,16;42,19;;
0808000;"Powiat świebodziński";47,97;47,89;48,04;47,89;47,83;47,58;;
0809000;"Powiat zielonogórski";44,70;44,42;43,43;43,04;42,59;42,16;;
0810000;"Powiat żagański";60,55;60,43;60,06;59,87;59,62;59,45;;
