"Kod";"Nazwa";"saldo migracji;w wieku produkcyjnym;2018;[osoba]";"saldo migracji;w wieku produkcyjnym;2019;[osoba]";"saldo migracji;w wieku produkcyjnym;2020;[osoba]";"saldo migracji;w wieku produkcyjnym;2021;[osoba]";"saldo migracji;w wieku produkcyjnym;2022;[osoba]";"saldo migracji;w wieku produkcyjnym;2023;[osoba]";
0201000;"Powiat bolesławiecki";35;-8;-20;53;-41;-38;
0202000;"Powiat dzierżoniowski";-134;-174;-144;-153;-150;-186;
0203000;"Powiat głogowski";-210;-191;-250;-109;-264;-194;
0204000;"Powiat górowski";-173;-155;-138;-142;-115;-107;
0205000;"Powiat jaworski";-185;-186;-138;-157;-75;-97;
0206000;"Powiat karkonoski";4;-44;15;32;-23;-15;
0207000;"Powiat kamiennogórski";-119;-125;-131;-122;-108;-103;
0208000;"Powiat kłodzki";-291;-370;-342;-358;-326;-336;
0209000;"Powiat legnicki";26;-12;116;111;34;124;
0210000;"Powiat lubański";-60;-101;-89;-164;-120;-79;
0211000;"Powiat lubiński";-87;-42;-71;-37;-40;-78;
0212000;"Powiat lwówecki";-80;-12;-55;-68;-59;-70;
0213000;"Powiat milicki";-42;-78;-73;-28;-69;-77;
0214000;"Powiat oleśnicki";34;49;190;86;193;185;
0215000;"Powiat oławski";29;77;111;62;30;150;
0216000;"Powiat polkowicki";-52;-95;-7;-40;85;4;
0217000;"Powiat strzeliński";-79;-54;-74;-24;-25;11;
0218000;"Powiat średzki";339;463;295;410;381;412;
0219000;"Powiat świdnicki";-185;-213;-86;-155;-183;-70;
0220000;"Powiat trzebnicki";228;197;159;215;320;351;
0221000;"Powiat wałbrzyski";-53;-6;-15;-52;-4;-2;
0222000;"Powiat wołowski";-22;-56;0;-28;-41;-40;
0223000;"Powiat wrocławski";2620;3002;2594;2472;2165;2554;
0224000;"Powiat ząbkowicki";-181;-210;-120;-119;-124;-129;
0225000;"Powiat zgorzelecki";-217;-252;-179;-148;-139;-150;
0226000;"Powiat złotoryjski";-128;-163;-154;-129;-80;-115;
0261000;"Powiat m. Jelenia Góra";-102;-26;-65;-161;-74;-91;
0262000;"Powiat m. Legnica";-193;-139;-201;-340;-263;-394;
0264000;"Powiat m. Wrocław";2409;3078;2264;2189;2170;2279;
0265000;"Powiat m. Wałbrzych od 2013";-278;-237;-293;-240;-253;-312;
0401000;"Powiat aleksandrowski";36;-59;-15;-33;31;-11;
0402000;"Powiat brodnicki";-63;-89;-51;-79;-32;-92;
0403000;"Powiat bydgoski";755;814;886;1120;939;992;
0404000;"Powiat chełmiński";-123;-140;-95;-147;-117;-116;
0405000;"Powiat golubsko-dobrzyński";-104;-145;-89;-151;-94;-106;
0406000;"Powiat grudziądzki";-92;-89;-67;52;-26;-10;
0407000;"Powiat inowrocławski";-346;-403;-395;-425;-296;-414;
0408000;"Powiat lipnowski";-268;-176;-189;-161;-119;-195;
0409000;"Powiat mogileński";-149;-126;-82;-102;-43;-104;
0410000;"Powiat nakielski";-180;-252;-130;-210;-88;-100;
0411000;"Powiat radziejowski";-118;-218;-111;-168;-168;-152;
0412000;"Powiat rypiński";-157;-160;-94;-93;-85;-83;
0413000;"Powiat sępoleński";-142;-106;-157;-99;-116;-111;
0414000;"Powiat świecki";-200;-196;-133;-167;-186;-177;
0415000;"Powiat toruński";660;679;630;751;752;555;
0416000;"Powiat tucholski";-155;-140;-91;-93;-70;-72;
0417000;"Powiat wąbrzeski";-146;-113;-106;-88;-101;-109;
0418000;"Powiat włocławski";-121;-183;-77;-73;-49;-94;
0419000;"Powiat żniński";-108;-157;-87;-6;-77;-89;
0461000;"Powiat m. Bydgoszcz";-621;-401;-894;-1065;-994;-828;
0462000;"Powiat m. Grudziądz";-179;-259;-129;-185;-206;-181;
0463000;"Powiat m. Toruń";-159;-81;-88;-227;-374;-145;
0464000;"Powiat m. Włocławek";-347;-409;-383;-423;-383;-314;
0601000;"Powiat bialski";-367;-404;-296;-181;-204;-242;
