"Kod";"Nazwa";"ogółem;2018;[-]";"ogółem;2019;[-]";"ogółem;2020;[-]";"ogółem;2021;[-]";"ogółem;2022;[-]";"ogółem;2023;[-]";
0201000;"Powiat bolesławiecki";41,1;41,5;42,1;42,4;42,9;43,4;
0202000;"Powiat dzierżoniowski";43,7;44,0;44,8;45,1;45,5;46,0;
0203000;"Powiat głogowski";41,2;41,8;42,5;42,9;43,5;44,1;
0204000;"Powiat górowski";40,1;40,6;42,1;42,6;43,0;43,5;
0205000;"Powiat jaworski";42,0;42,5;43,2;43,7;44,1;44,6;
0206000;"Powiat karkonoski";43,2;43,6;44,4;44,7;45,2;45,8;
0207000;"Powiat kamiennogórski";42,4;42,9;43,9;44,3;44,7;45,3;
0208000;"Powiat kłodzki";43,6;44,1;44,9;45,3;45,7;46,2;
0209000;"Powiat legnicki";40,8;41,3;41,8;42,2;42,7;43,2;
0210000;"Powiat lubański";42,4;42,9;43,7;44,1;44,6;45,2;
0211000;"Powiat lubiński";42,2;42,7;43,2;43,6;44,1;44,7;
0212000;"Powiat lwówecki";41,8;42,2;43,4;43,9;44,3;44,9;
0213000;"Powiat milicki";39,7;40,1;41,0;41,5;42,0;42,6;
0214000;"Powiat oleśnicki";40,1;40,5;41,0;41,4;41,8;42,3;
0215000;"Powiat oławski";40,8;41,2;41,6;42,0;42,5;43,0;
0216000;"Powiat polkowicki";39,5;39,9;40,7;41,0;41,4;41,8;
0217000;"Powiat strzeliński";41,3;41,7;42,4;42,8;43,3;43,8;
0218000;"Powiat średzki";39,8;40,1;40,4;40,7;41,0;41,4;
0219000;"Powiat świdnicki";42,4;42,8;43,5;43,9;44,4;44,8;
0220000;"Powiat trzebnicki";40,1;40,6;41,1;41,5;42,0;42,4;
0221000;"Powiat wałbrzyski";43,1;43,4;44,1;44,5;44,9;45,4;
0222000;"Powiat wołowski";41,6;42,1;42,7;43,0;43,5;44,0;
0223000;"Powiat wrocławski";38,1;38,3;37,7;38,1;38,5;39,0;
