"Kod";"Nazwa";"ludność na aptekę ogólnodostępną;2018;[osoba]";"ludność na aptekę ogólnodostępną;2019;[osoba]";"ludność na aptekę ogólnodostępną;2020;[osoba]";"ludność na aptekę ogólnodostępną;2021;[osoba]";"ludność na aptekę ogólnodostępną;2022;[osoba]";"ludność na aptekę ogólnodostępną;2023;[osoba]";
0201000;"Powiat bolesławiecki";2910;3003;3405;3269;3382;3506;
0202000;"Powiat dzierżoniowski";2669;2725;2800;2936;2996;2871;
0203000;"Powiat głogowski";2985;3300;3338;3199;3174;3271;
0204000;"Powiat górowski";3909;3874;4172;4718;4677;4637;
0205000;"Powiat jaworski";3159;3132;3242;3431;3660;3372;
0206000;"Powiat karkonoski";3193;3347;3257;3235;3589;3555;
0207000;"Powiat kamiennogórski";3966;6177;5974;5156;5098;5040;
0208000;"Powiat kłodzki";2951;3038;2880;2951;2974;2939;
0209000;"Powiat legnicki";6147;5015;6115;5008;5503;5503;
0210000;"Powiat lubański";3218;3191;3114;3081;3052;3024;
0211000;"Powiat lubiński";2952;3122;3265;3248;3566;3547;
0212000;"Powiat lwówecki";2709;2870;3145;3105;3320;3294;
0213000;"Powiat milicki";3709;3700;3618;3603;3583;3560;
0214000;"Powiat oleśnicki";3149;3065;3137;3130;3132;3133;
0215000;"Powiat oławski";3647;3838;3870;3683;3514;3519;
0216000;"Powiat polkowicki";3705;3710;4107;4087;4087;4079;
0217000;"Powiat strzeliński";3979;3961;3866;3840;3817;3798;
0218000;"Powiat średzki";4522;4590;5219;5271;5851;5908;
0219000;"Powiat świdnicki";2627;2753;2745;2876;3087;3270;
0220000;"Powiat trzebnicki";3395;3707;3777;3954;3968;3810;
0221000;"Powiat wałbrzyski";2800;3090;3181;3346;3320;3510;
0222000;"Powiat wołowski";3620;3601;3863;3837;3518;3497;
0223000;"Powiat wrocławski";3478;3785;4469;4834;5077;5199;
0224000;"Powiat ząbkowicki";2974;3086;2979;2945;3054;3365;
0225000;"Powiat zgorzelecki";3104;3303;3244;3209;3304;3406;
0226000;"Powiat złotoryjski";2925;3106;3211;3440;3721;4062;
0261000;"Powiat m. Jelenia Góra";2148;2196;2215;2393;2369;2348;
0262000;"Powiat m. Legnica";2122;2160;2212;2186;2386;2243;
0264000;"Powiat m. Wrocław";2232;2346;2601;2708;2740;2807;
0265000;"Powiat m. Wałbrzych od 2013";2396;2590;2625;2648;2484;2866;
0401000;"Powiat aleksandrowski";2909;2898;2860;3000;3161;3145;
0402000;"Powiat brodnicki";3945;4163;4126;4114;4108;4094;
0403000;"Powiat bydgoski";4345;4396;4525;4763;4824;5079;
0404000;"Powiat chełmiński";5219;5193;5589;5544;6195;6140;
0405000;"Powiat golubsko-dobrzyński";4104;4093;4418;4378;4839;4328;
0406000;"Powiat grudziądzki";5753;5748;5619;5610;5595;6523;
0407000;"Powiat inowrocławski";3347;3474;3437;3478;3533;3585;
0408000;"Powiat lipnowski";3146;3131;3042;3171;3318;3129;
0409000;"Powiat mogileński";3525;3509;3704;3672;3987;3962;
0410000;"Powiat nakielski";4123;4316;4195;4171;4376;3946;
0411000;"Powiat radziejowski";2395;2372;2299;2576;2727;2701;
0412000;"Powiat rypiński";4870;4832;4677;4632;5176;5148;
0413000;"Powiat sępoleński";3429;3421;3303;3289;3268;3236;
0414000;"Powiat świecki";4964;4948;4596;4360;4335;4311;
0415000;"Powiat toruński";5092;5159;5570;5924;6309;6350;
0416000;"Powiat tucholski";4837;4838;4314;4292;3926;3910;
0417000;"Powiat wąbrzeski";3824;4885;5537;5505;5459;5403;
0418000;"Powiat włocławski";3454;3441;3483;3460;3442;3423;
0419000;"Powiat żniński";2934;3190;3119;3107;3088;3216;
0461000;"Powiat m. Bydgoszcz";2653;2808;2826;2784;2750;2790;
0462000;"Powiat m. Grudziądz";2569;2696;2766;2655;2885;2533;
0463000;"Powiat m. Toruń";2659;2798;2800;2776;2796;2907;
0464000;"Powiat m. Włocławek";2841;2970;2697;2725;2760;3150;
0601000;"Powiat bialski";3481;3692;3568;3426;3518;3495;
0602000;"Powiat biłgorajski";2359;2347;2411;2328;2554;2530;
0603000;"Powiat chełmski";4602;4589;4439;4403;4647;4607;
0604000;"Powiat hrubieszowski";2548;2619;2711;2665;2743;2989;
0605000;"Powiat janowski";2709;3047;2944;2727;2699;2675;
0606000;"Powiat krasnostawski";3760;3954;3827;3545;3515;3473;
0607000;"Powiat kraśnicki";2234;2326;2247;2275;2252;2288;
0608000;"Powiat lubartowski";2166;2265;2323;2365;2563;2545;
