"Kod";"Nazwa";"łóżka w szpitalach ogólnych;2018;[-]";"łóżka w szpitalach ogólnych;2019;[-]";"łóżka w szpitalach ogólnych;2020;[-]";"łóżka w szpitalach ogólnych;2021;[-]";"łóżka w szpitalach ogólnych;2022;[-]";"łóżka w szpitalach ogólnych;2023;[-]";
0201000;"Powiat bolesławiecki";182;170;235;257;332;332;
0202000;"Powiat dzierżoniowski";201;158;166;161;162;162;
0203000;"Powiat głogowski";200;200;237;200;206;206;
0205000;"Powiat jaworski";84;75;75;101;75;75;
0206000;"Powiat karkonoski";770;718;718;889;865;873;
0207000;"Powiat kamiennogórski";416;369;369;308;364;357;
0208000;"Powiat kłodzki";1085;969;1048;1006;1007;954;
0210000;"Powiat lubański";289;234;247;247;247;247;
0211000;"Powiat lubiński";752;683;705;679;665;688;
0212000;"Powiat lwówecki";371;331;331;331;331;331;
0213000;"Powiat milicki";361;298;298;299;299;294;
0214000;"Powiat oleśnicki";239;198;198;197;197;205;
0215000;"Powiat oławski";274;198;198;181;181;173;
0217000;"Powiat strzeliński";119;125;68;142;118;67;
0219000;"Powiat świdnicki";491;418;424;418;402;390;
0220000;"Powiat trzebnicki";435;367;369;372;372;402;
0221000;"Powiat wałbrzyski";40;41;41;41;40;40;
0222000;"Powiat wołowski";124;103;77;77;77;77;
0223000;"Powiat wrocławski";40;44;40;40;44;49;
0224000;"Powiat ząbkowicki";137;126;127;127;187;125;
0225000;"Powiat zgorzelecki";589;572;533;553;567;567;
0226000;"Powiat złotoryjski";136;97;95;95;95;103;
0261000;"Powiat m. Jelenia Góra";606;576;560;560;561;562;
0262000;"Powiat m. Legnica";593;587;584;695;542;551;
0264000;"Powiat m. Wrocław";5316;4744;4747;4646;4698;4512;
0265000;"Powiat m. Wałbrzych od 2013";809;751;804;784;726;697;
0401000;"Powiat aleksandrowski";209;132;131;211;128;128;
0402000;"Powiat brodnicki";185;173;141;162;162;162;
0403000;"Powiat bydgoski";31;57;55;55;55;75;
0404000;"Powiat chełmiński";135;131;124;124;109;109;
