"Kod";"Nazwa";"ogółem;2018;[%]";"ogółem;2019;[%]";"ogółem;2020;[%]";"ogółem;2021;[%]";"ogółem;2022;[%]";"ogółem;2023;[%]";"ogółem;2024;[%]";
0201000;"Powiat bolesławiecki";3,8;3,8;5,6;5,1;3,1;2,8;3,1;
0202000;"Powiat dzierżoniowski";6,1;5,2;6,8;5,5;5,2;5,6;6,1;
0203000;"Powiat głogowski";8,9;7,1;7,8;7,7;6,4;6,5;6,6;
0204000;"Powiat górowski";15,3;14,2;15,7;18,3;13,8;14,2;14,3;
0205000;"Powiat jaworski";12,4;10,6;11,3;10,8;10,2;9,7;9,8;
0206000;"Powiat karkonoski";8,9;8,2;10,1;10,5;8,5;8,5;8,5;
0207000;"Powiat kamiennogórski";6,2;5,8;8,0;6,6;6,1;6,1;7,4;
0208000;"Powiat kłodzki";11,8;11,1;12,6;12,5;11,8;11,7;12,7;
0209000;"Powiat legnicki";10,1;8,1;8,7;8,4;8,1;7,3;7,0;
0210000;"Powiat lubański";7,3;6,9;8,9;8,0;7,1;6,7;7,1;
0211000;"Powiat lubiński";4,8;4,1;5,0;4,0;3,9;3,8;4,0;
0212000;"Powiat lwówecki";12,2;11,2;11,5;9,5;8,7;8,7;8,7;
0213000;"Powiat milicki";6,8;6,4;6,9;5,8;6,3;6,4;6,1;
0214000;"Powiat oleśnicki";5,4;5,2;6,7;6,0;6,0;5,8;5,9;
0215000;"Powiat oławski";5,4;4,4;4,9;4,0;4,2;3,9;4,3;
0216000;"Powiat polkowicki";4,5;4,4;4,8;4,9;4,4;4,3;4,2;
0217000;"Powiat strzeliński";10,5;9,7;11,2;11,8;10,4;10,4;10,5;
0218000;"Powiat średzki";5,5;4,8;5,8;5,8;4,7;4,6;5,2;
0219000;"Powiat świdnicki";6,2;5,6;6,9;5,7;5,6;5,9;6,3;
0220000;"Powiat trzebnicki";5,8;5,1;5,5;5,1;4,8;5,0;5,2;
0221000;"Powiat wałbrzyski";13,6;12,8;14,9;13,9;11,7;11,7;11,7;
0222000;"Powiat wołowski";11,3;10,6;11,7;12,2;11,2;11,2;10,5;
0223000;"Powiat wrocławski";1,8;1,6;2,0;1,8;1,4;1,4;1,5;
0224000;"Powiat ząbkowicki";10,9;9,4;10,2;9,7;9,5;10,1;10,4;
0225000;"Powiat zgorzelecki";5,1;4,9;6,0;5,6;5,1;5,0;5,4;
0226000;"Powiat złotoryjski";14,8;13,1;14,2;13,8;13,7;13,3;13,9;
0261000;"Powiat m. Jelenia Góra";3,6;3,2;4,6;3,8;3,6;3,9;4,1;
0262000;"Powiat m. Legnica";5,0;4,2;5,7;5,2;5,1;4,5;4,7;
0264000;"Powiat m. Wrocław";1,9;1,6;2,4;1,9;1,6;1,6;1,7;
0265000;"Powiat m. Wałbrzych od 2013";6,0;4,9;6,0;4,8;4,2;4,4;5,1;
0401000;"Powiat aleksandrowski";12,9;12,2;14,8;13,5;11,3;10,9;10,3;
0402000;"Powiat brodnicki";7,2;7,0;8,4;6,7;6,9;6,7;6,7;
0403000;"Powiat bydgoski";5,5;4,1;5,2;3,9;3,3;3,1;3,3;
0404000;"Powiat chełmiński";12,6;11,8;13,2;12,8;12,3;11,8;12,5;
0405000;"Powiat golubsko-dobrzyński";10,2;10,0;11,9;12,1;10,6;10,2;10,6;
0406000;"Powiat grudziądzki";13,4;10,6;12,3;13,4;11,3;10,5;11,0;
0407000;"Powiat inowrocławski";12,6;11,0;12,7;12,4;10,3;10,6;10,7;
0408000;"Powiat lipnowski";17,0;15,5;15,9;15,6;12,7;13,0;13,3;
0409000;"Powiat mogileński";10,7;9,8;10,7;10,6;9,6;9,7;9,6;
0410000;"Powiat nakielski";11,7;10,5;12,8;11,6;10,4;9,8;10,2;
0411000;"Powiat radziejowski";16,6;16,6;16,2;18,7;15,3;16,0;15,1;
0412000;"Powiat rypiński";11,6;9,9;10,5;10,5;8,9;9,0;10,0;
0413000;"Powiat sępoleński";12,5;11,6;12,3;11,5;10,7;11,5;10,9;
0414000;"Powiat świecki";7,5;7,0;7,2;6,5;6,2;6,3;6,4;
0415000;"Powiat toruński";11,0;9,4;10,5;10,6;8,4;8,0;8,3;
0416000;"Powiat tucholski";11,0;9,7;11,0;10,6;10,3;10,8;10,7;
0417000;"Powiat wąbrzeski";12,0;11,5;13,0;11,7;12,7;12,3;11,0;
0418000;"Powiat włocławski";15,6;13,9;14,6;16,0;13,4;12,8;13,2;
0419000;"Powiat żniński";10,6;9,4;10,2;9,7;8,9;9,1;9,2;
0461000;"Powiat m. Bydgoszcz";3,6;2,9;3,6;2,5;2,3;2,2;2,3;
0462000;"Powiat m. Grudziądz";9,2;8,4;11,7;11,5;10,0;9,2;9,8;
0463000;"Powiat m. Toruń";4,7;4,1;4,7;4,0;3,6;3,1;3,2;
0464000;"Powiat m. Włocławek";10,7;9,3;10,9;8,7;8,4;8,2;8,7;
0601000;"Powiat bialski";9,9;9,3;10,3;11,1;9,6;8,7;9,1;
0602000;"Powiat biłgorajski";5,0;5,0;5,3;6,5;5,9;6,1;5,9;
0603000;"Powiat chełmski";13,3;11,9;12,9;17,5;13,8;12,3;12,4;
0604000;"Powiat hrubieszowski";13,1;13,3;12,9;18,1;15,1;15,3;15,3;
0605000;"Powiat janowski";8,5;8,5;9,2;13,8;12,3;11,8;11,3;
