"Kod";"Nazwa";"przeciętne miesięczne wynagrodzenia brutto w relacji do średniej krajowej (Polska=100);2018;[%]";"przeciętne miesięczne wynagrodzenia brutto w relacji do średniej krajowej (Polska=100);2019;[%]";"przeciętne miesięczne wynagrodzenia brutto w relacji do średniej krajowej (Polska=100);2020;[%]";"przeciętne miesięczne wynagrodzenia brutto w relacji do średniej krajowej (Polska=100);2021;[%]";"przeciętne miesięczne wynagrodzenia brutto w relacji do średniej krajowej (Polska=100);2022;[%]";"przeciętne miesięczne wynagrodzenia brutto w relacji do średniej krajowej (Polska=100);2023;[%]";
0201000;"Powiat bolesławiecki";87,2;87,7;88,5;91,0;92,2;90,5;
0202000;"Powiat dzierżoniowski";83,3;86,5;84,9;85,5;85,4;85,0;
0203000;"Powiat głogowski";84,3;85,5;86,2;86,2;87,3;87,7;
0204000;"Powiat górowski";78,9;76,8;80,2;81,0;80,9;79,8;
0205000;"Powiat jaworski";83,3;85,1;89,3;92,6;91,6;92,9;
0206000;"Powiat karkonoski";83,5;84,0;82,0;84,2;83,9;82,8;
0207000;"Powiat kamiennogórski";83,0;83,4;82,1;81,4;82,8;81,8;
0208000;"Powiat kłodzki";83,9;84,7;86,0;85,7;84,6;85,9;
0209000;"Powiat legnicki";86,6;89,8;88,3;90,9;91,2;91,9;
0210000;"Powiat lubański";81,5;80,5;81,6;83,0;82,3;81,8;
0211000;"Powiat lubiński";163,7;159,7;161,5;167,9;169,4;168,6;
0212000;"Powiat lwówecki";81,7;82,7;83,7;84,1;83,2;81,6;
0213000;"Powiat milicki";77,2;77,1;78,6;80,8;79,2;80,1;
0214000;"Powiat oleśnicki";85,4;86,0;86,4;85,2;85,9;85,5;
0215000;"Powiat oławski";91,3;92,7;90,3;91,1;89,9;90,5;
0216000;"Powiat polkowicki";102,2;103,0;101,5;102,0;102,3;102,2;
0217000;"Powiat strzeliński";91,0;92,1;93,5;94,5;94,3;94,1;
0218000;"Powiat średzki";99,4;97,8;95,2;96,0;94,2;96,4;
0219000;"Powiat świdnicki";91,6;91,5;91,5;91,2;90,4;89,1;
0220000;"Powiat trzebnicki";81,8;81,8;83,5;87,2;87,3;88,8;
0221000;"Powiat wałbrzyski";79,1;78,5;79,4;79,3;81,0;80,3;
0222000;"Powiat wołowski";105,2;105,6;107,0;113,2;117,9;104,3;
0223000;"Powiat wrocławski";100,9;102,8;106,2;108,1;106,8;108,2;
0224000;"Powiat ząbkowicki";79,8;80,6;82,5;82,9;83,7;81,9;
0225000;"Powiat zgorzelecki";87,4;87,3;88,4;89,1;89,2;89,7;
0226000;"Powiat złotoryjski";90,2;91,3;92,7;93,2;93,0;96,2;
0261000;"Powiat m. Jelenia Góra";94,0;93,6;93,8;94,1;93,7;93,5;
0262000;"Powiat m. Legnica";88,1;91,1;89,7;91,0;90,5;90,9;
0264000;"Powiat m. Wrocław";110,4;111,1;111,2;111,5;110,2;109,7;
0265000;"Powiat m. Wałbrzych od 2013";98,6;100,1;100,8;100,2;100,4;99,9;
0401000;"Powiat aleksandrowski";75,3;75,6;74,9;77,5;78,4;79,2;
0402000;"Powiat brodnicki";77,8;77,7;77,7;77,8;77,2;77,9;
0403000;"Powiat bydgoski";87,1;85,9;86,0;86,1;86,4;85,1;
0404000;"Powiat chełmiński";78,5;79,5;81,3;81,7;79,6;78,6;
0405000;"Powiat golubsko-dobrzyński";89,2;87,3;90,1;87,9;89,7;87,9;
0406000;"Powiat grudziądzki";81,7;82,9;84,7;83,5;82,4;81,9;
0407000;"Powiat inowrocławski";79,4;79,9;83,2;83,1;84,3;84,9;
0408000;"Powiat lipnowski";72,2;72,6;74,4;74,3;73,2;74,5;
0409000;"Powiat mogileński";79,7;79,3;77,2;78,4;81,8;84,1;
0410000;"Powiat nakielski";76,7;79,2;80,1;80,4;88,1;86,9;
0411000;"Powiat radziejowski";74,4;75,4;78,2;80,0;78,3;80,0;
0412000;"Powiat rypiński";77,4;76,8;76,4;77,8;76,7;77,0;
0413000;"Powiat sępoleński";77,2;76,8;78,0;78,4;78,0;77,6;
0414000;"Powiat świecki";86,3;88,4;88,0;86,8;86,4;86,4;
0415000;"Powiat toruński";77,1;77,7;79,6;78,9;81,2;81,4;
0416000;"Powiat tucholski";74,5;75,7;76,2;77,3;77,0;76,9;
0417000;"Powiat wąbrzeski";81,4;83,7;85,3;84,8;84,3;82,3;
0418000;"Powiat włocławski";78,0;79,3;79,4;80,1;78,9;78,0;
0419000;"Powiat żniński";75,6;75,2;77,6;76,7;77,1;78,8;
0461000;"Powiat m. Bydgoszcz";92,7;95,7;95,1;97,5;96,0;98,5;
