Kod;Uprawnieni do głosowania;Ważnych kart;Oddane głosy;Trzecia Droga;Lewica;Prawo i Sprawiedliwość;Konfederacja;Koalicja Obywatelska;Data;Typ wyborów
201000;66394;46510;45479;5339;4146;15465;3425;14329;2023-10-15;Sejmowe
202000;74042;50902;49867;6041;3797;17865;3582;16811;2023-10-15;Sejmowe
203000;64410;47421;46604;4417;4120;17212;2851;16434;2023-10-15;Sejmowe
204000;25337;16532;16092;2031;1623;6478;1123;3888;2023-10-15;Sejmowe
205000;37390;25660;25140;2796;2507;10139;1529;7250;2023-10-15;Sejmowe
206000;50049;36096;35439;4072;3485;9109;1964;15331;2023-10-15;Sejmowe
207000;31724;21878;21357;2206;1982;7280;1168;7861;2023-10-15;Sejmowe
208000;120530;81969;80293;10190;5670;27173;4414;29877;2023-10-15;Sejmowe
209000;41552;29842;29130;3290;2171;11354;2184;8702;2023-10-15;Sejmowe
210000;40763;28311;27691;3302;3271;9010;1661;8826;2023-10-15;Sejmowe
211000;78054;58542;57517;5615;4640;22315;3708;16699;2023-10-15;Sejmowe
212000;33765;22447;21837;3069;2275;7312;1233;6920;2023-10-15;Sejmowe
213000;27891;19350;18960;2924;1827;7232;1385;4644;2023-10-15;Sejmowe
214000;80860;58768;57578;8872;5032;18404;4158;18145;2023-10-15;Sejmowe
215000;57635;43413;42861;5620;3445;14353;3230;14016;2023-10-15;Sejmowe
216000;45795;32706;31994;3960;2521;14044;2615;7359;2023-10-15;Sejmowe
217000;33826;24111;23599;2540;1537;9372;1592;7227;2023-10-15;Sejmowe
218000;43265;32010;31388;4401;2426;10818;2644;9921;2023-10-15;Sejmowe
219000;116272;83807;82342;9854;7813;27158;5623;29299;2023-10-15;Sejmowe
220000;66784;50046;48964;6193;3895;16115;3390;15255;2023-10-15;Sejmowe
221000;41628;28399;27798;3432;2236;8325;1597;11258;2023-10-15;Sejmowe
222000;36471;25754;25174;3052;1992;9449;1621;7560;2023-10-15;Sejmowe
223000;125656;102779;101589;15664;9058;25982;7786;38809;2023-10-15;Sejmowe
224000;48465;31970;31271;4242;2153;12572;1837;9350;2023-10-15;Sejmowe
225000;67305;47244;46168;4658;4709;16370;2920;15319;2023-10-15;Sejmowe
226000;31909;21622;21111;2248;2291;7946;1261;6610;2023-10-15;Sejmowe
261000;58088;43154;42591;4065;4932;10769;2191;19122;2023-10-15;Sejmowe
262000;69202;50399;49812;4921;4665;16318;3060;18778;2023-10-15;Sejmowe
264000;508558;412755;409849;55327;57254;88696;27203;167248;2023-10-15;Sejmowe
265000;75920;52643;51789;5456;4137;14704;2425;23593;2023-10-15;Sejmowe
401000;45563;32235;31342;4108;3013;12450;2075;8502;2023-10-15;Sejmowe
402000;58336;40153;39125;8622;2492;14528;2502;9171;2023-10-15;Sejmowe
403000;92236;70778;69585;11979;6193;17958;5047;26349;2023-10-15;Sejmowe
404000;37096;24822;24105;3397;1952;8443;1623;7909;2023-10-15;Sejmowe
405000;33612;22660;22084;3933;1975;9281;1625;4562;2023-10-15;Sejmowe
406000;29809;19619;19053;3516;1685;7717;1445;4080;2023-10-15;Sejmowe
407000;118114;83780;81821;12049;6960;26913;4647;28563;2023-10-15;Sejmowe
408000;48623;31145;30103;6723;2584;12537;1978;5430;2023-10-15;Sejmowe
409000;34236;23622;23018;3984;2455;8448;1488;5786;2023-10-15;Sejmowe
410000;63932;44419;43165;6909;4392;14257;3037;13032;2023-10-15;Sejmowe
411000;30840;20558;20013;3112;1912;9870;1315;3186;2023-10-15;Sejmowe
412000;32741;21452;20927;3762;1739;8866;1316;4597;2023-10-15;Sejmowe
413000;29629;19592;19061;2512;1674;6847;1226;6055;2023-10-15;Sejmowe
414000;72050;48842;47525;7184;3591;16641;3467;15162;2023-10-15;Sejmowe
415000;82816;60618;59338;10020;6040;18538;4343;18688;2023-10-15;Sejmowe
416000;36146;25203;24438;3730;1822;10004;1942;5947;2023-10-15;Sejmowe
417000;24845;16021;15570;3823;1234;5486;1146;3431;2023-10-15;Sejmowe
418000;66193;44368;42869;6294;4872;18498;2846;8931;2023-10-15;Sejmowe
419000;52377;36936;35880;5193;2827;12843;2401;11394;2023-10-15;Sejmowe
461000;246837;191388;189426;26886;23045;48692;11011;74626;2023-10-15;Sejmowe
462000;64271;45912;45155;6333;5502;12925;2614;16471;2023-10-15;Sejmowe
463000;146081;113849;112652;15038;15723;28363;6642;44041;2023-10-15;Sejmowe
464000;78610;56271;55261;5627;9750;15629;2762;19720;2023-10-15;Sejmowe
601000;83820;57813;56479;7485;3428;28691;4601;8673;2023-10-15;Sejmowe
602000;76801;51968;51121;8356;1601;28585;4079;5992;2023-10-15;Sejmowe
603000;58779;36730;35643;3722;1654;18845;3147;6371;2023-10-15;Sejmowe
604000;47393;29532;28904;3601;1554;15488;2205;4627;2023-10-15;Sejmowe
605000;34677;25125;24749;2168;835;16752;2038;2072;2023-10-15;Sejmowe
606000;48826;31792;31011;3105;3226;15443;2412;5293;2023-10-15;Sejmowe
607000;71159;48170;47145;6947;2771;26117;3426;6089;2023-10-15;Sejmowe
608000;67066;47529;46413;7024;2231;23890;4474;6332;2023-10-15;Sejmowe
609000;122273;90741;89336;15828;4525;41285;8690;14925;2023-10-15;Sejmowe
610000;42619;30216;29535;3322;1274;14582;2903;6011;2023-10-15;Sejmowe
611000;78700;57464;56094;7129;1943;30860;5203;7289;2023-10-15;Sejmowe
612000;45208;29997;29254;4404;1275;16105;2308;4195;2023-10-15;Sejmowe
613000;25977;17795;17380;2817;926;8719;1382;2490;2023-10-15;Sejmowe
614000;87866;64578;63374;9584;3677;28212;5144;14244;2023-10-15;Sejmowe
615000;44197;30875;30150;4824;1278;16332;2420;3335;2023-10-15;Sejmowe
616000;42057;31128;30505;5210;1612;15614;2271;4720;2023-10-15;Sejmowe
617000;54373;39209;38649;6788;2164;17686;3132;7447;2023-10-15;Sejmowe
618000;62858;40681;39875;4762;1716;22389;3143;5719;2023-10-15;Sejmowe
619000;29281;19671;19150;3090;1319;8724;1372;3813;2023-10-15;Sejmowe
620000;81462;54736;53575;6365;2327;30491;4332;6705;2023-10-15;Sejmowe
661000;42256;31220;30807;3505;1996;12589;2250;8863;2023-10-15;Sejmowe
662000;45531;31378;30923;3312;2316;12185;2078;9707;2023-10-15;Sejmowe
